Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AMZN,AMZN,AMZN,AMZN,AMZN,,,
2022-09-12,2022,9,12,Monday,37,2022-37,134.1,136.49,134.0,136.45,53826900,0.023861278411006825,130.8,128.24640000000002
2022-09-13,2022,9,13,Tuesday,37,2022-37,131.01,131.4,126.27,126.82,72694000,-0.0705752837581286,130.31428571428572,128.5916
2022-09-14,2022,9,14,Wednesday,37,2022-37,127.36,128.84,126.33,128.55,45316800,0.01364140798846103,129.93928571428572,128.89260000000002
2022-09-15,2022,9,15,Thursday,37,2022-37,127.38,130.37,125.5,126.28,52887200,-0.0176585314552421,129.1535714285714,129.1316
2022-09-16,2022,9,16,Friday,37,2022-37,122.78,123.87,120.7,123.53,115667800,-0.021777003694830932,128.63785714285714,129.2756
2022-09-19,2022,9,19,Monday,38,2022-38,122.16,124.71,121.8,124.66,47279700,0.009147615105472573,128.27142857142857,129.458
2022-09-20,2022,9,20,Tuesday,38,2022-38,123.35,124.4,121.14,122.19,47698400,-0.019813903001303146,127.80428571428571,129.6668
2022-09-21,2022,9,21,Wednesday,38,2022-38,122.49,123.76,118.45,118.54,58498900,-0.02987152347123645,127.21642857142857,129.8532
2022-09-22,2022,9,22,Thursday,38,2022-38,117.08,118.79,116.26,117.31,55229200,-0.010376272544574294,126.46571428571428,129.9914
2022-09-23,2022,9,23,Friday,38,2022-38,116.0,116.05,112.06,113.78,65126700,-0.03009120154088929,125.485,130.05440000000002
2022-09-26,2022,9,26,Monday,39,2022-39,113.3,117.34,113.13,115.15,62723300,0.012040804722097675,124.70214285714285,130.0864
2022-09-27,2022,9,27,Tuesday,39,2022-39,117.2,118.32,113.05,114.41,60094700,-0.006426381710496365,123.62571428571428,130.09939999999997
2022-09-28,2022,9,28,Wednesday,39,2022-39,114.38,118.7,113.8,118.01,55763800,0.0314657666190894,122.78214285714286,130.09539999999998
2022-09-29,2022,9,29,Thursday,39,2022-39,115.6,116.07,113.06,114.8,58969700,-0.027201076403397084,121.46285714285715,129.936
2022-09-30,2022,9,30,Friday,39,2022-39,114.08,116.92,112.84,113.0,59479600,-0.015679468675155683,119.78785714285713,129.7034
2022-10-03,2022,10,3,Monday,40,2022-40,113.58,116.91,112.45,115.88,50941900,0.025486701357681163,119.00642857142857,129.5726
2022-10-04,2022,10,4,Tuesday,40,2022-40,119.89,123.0,119.79,121.09,62812600,0.04496029692750958,118.47357142857143,129.5716
2022-10-05,2022,10,5,Wednesday,40,2022-40,118.58,121.75,117.69,120.95,48217500,-0.001156159830559278,118.09285714285716,129.6944
2022-10-06,2022,10,6,Thursday,40,2022-40,120.77,121.53,119.5,120.3,42253800,-0.00537407121029132,117.86214285714287,129.681
2022-10-07,2022,10,7,Friday,40,2022-40,118.0,118.17,113.88,114.56,54678000,-0.04771409266460691,117.14071428571428,129.5266
2022-10-10,2022,10,10,Monday,41,2022-41,115.1,116.25,112.43,113.67,42339700,-0.007768849586377025,116.53214285714286,129.101
2022-10-11,2022,10,11,Tuesday,41,2022-41,112.71,115.48,110.39,112.21,56432200,-0.012844190270001499,116.08,128.63739999999999
